loop	-13.00000000	-65.00000000	0	0.0
loop	-13.01122000	-67.80500000	1	0.09999833334166665
loop	-13.02933245	-69.58421286	2	0.1999866669333308
loop	-13.05054083	-70.44875774	3	0.2999550020249566
loop	-13.07257438	-70.76108965	4	0.3998933418663416
loop	-13.09432650	-70.80090403	5	0.4997916927067833
loop	-13.11530873	-70.71718989	6	0.599640064794446
loop	-13.13531644	-70.57846951	7	0.6994284733753277
loop	-13.15426854	-70.41460751	8	0.799146939691727
loop	-13.17213687	-70.23842495	9	0.8987854919801104
loop	-13.18891577	-70.05540881	10	0.9983341664682815
loop	-13.20460899	-69.86788461	11	1.0977830083717481
loop	-13.21922399	-69.67679493	12	1.1971220728891936
loop	-13.23276936	-69.48246216	13	1.2963414261969486
loop	-13.24525365	-69.28491920	14	1.395431146442365
loop	-13.25668479	-69.08405417	15	1.494381324735992
loop	-13.26706979	-68.87967357	16	1.5931820661424598
loop	-13.27641451	-68.67152906	17	1.6918234906699603
loop	-13.28472353	-68.45932721	18	1.7902957342582417
loop	-13.29199998	-68.24273096	19	1.8885889497650057
loop	-13.29824541	-68.02135643	20	1.9866933079506122
loop	-13.30345957	-67.79476672	21	2.0845989984609954
loop	-13.30764023	-67.56246299	22	2.182296230808693
loop	-13.31078291	-67.32387286	23	2.279775235351884
loop	-13.31288060	-67.07833557	24	2.377026264271346
loop	-13.31392332	-66.82508292	25	2.474039592545229
loop	-13.31389771	-66.56321493	26	2.570805518921551
loop	-13.31278643	-66.29166811	27	2.6673143668883115
loop	-13.31056740	-66.00917391	28	2.7635564856411374
loop	-13.30721286	-65.71420331	29	2.8595222510483556
loop	-13.30268817	-65.40489205	30	2.9552020666133956
loop	-13.29695016	-65.07893782	31	3.050586364434435
loop	-13.28994498	-64.73345622	32	3.1456656061611774
loop	-13.28160518	-64.36477491	33	3.2404302839486836
loop	-13.27184561	-63.96813222	34	3.334870921408144
loop	-13.26055759	-63.53722394	35	3.4289780745545135
loop	-13.24760044	-63.06350121	36	3.5227423327508993
loop	-13.23278861	-62.53504383	37	3.61615431964962
loop	-13.21587155	-61.93467764	38	3.7092046941298267
loop	-13.19650082	-61.23667481	39	3.801884151231614
loop	-13.17417332	-60.40062961	40	3.8941834230865053
loop	-13.14812693	-59.35926915	41	3.986093279844229
loop	-13.11713230	-57.99197827	42	4.077604530595702
loop	-13.07903140	-56.06043634	43	4.1687080242921075
loop	-13.02955704	-53.02656516	44	4.2593946506599965
loop	-12.95862044	-47.41363538	45	4.349655341112302
loop	-12.83412345	-33.66885437	46	4.439481069655198
loop	-12.47248121	26.23994083	47	4.528862853790683
spike at 48
loop	-4.61971935	-65.00000000	48	4.617791755414829
loop	-4.81210779	-71.19570817	49	4.70625888171158
loop	-5.01262289	-74.18931467	50	4.79425538604203
loop	-5.21210454	-74.93352512	51	4.881772468829075
loop	-5.40751365	-74.91280049	52	4.968801378437368
loop	-5.59814262	-74.69481218	53	5.055333412048469
loop	-5.78389191	-74.42803365	54	5.1413599165311314
loop	-5.96480764	-74.14839300	55	5.226872289306592
loop	-6.14096994	-73.86461390	56	5.3118619792088335
loop	-6.31246573	-73.57879627	57	5.3963204873396915
loop	-6.47938188	-73.29136558	58	5.480239367918736
loop	-6.64180343	-73.00229877	59	5.563610229127837
loop	-6.79981312	-72.71143852	60	5.6464247339503535
loop	-6.95349116	-72.41857560	61	5.728674601004813
loop	-7.10291522	-72.12346980	62	5.810351605373051
loop	-7.24816033	-71.82585370	63	5.891447579422695
loop	-7.38929884	-71.52543096	64	5.971954413623921
loop	-7.52640036	-71.22187264	65	6.051864057360396
loop	-7.65953160	-70.91481207	66	6.131168519734338
loop	-7.78875632	-70.60383862	67	6.209859870365597
loop	-7.91413515	-70.28848991	68	6.287930240184686
loop	-8.03572542	-69.96824230	69	6.365371822219679
loop	-8.15358091	-69.64249916	70	6.44217687237691
loop	-8.26775159	-69.31057609	71	6.518337710215366
loop	-8.37828329	-68.97168238	72	6.5938467197147315
loop	-8.48521722	-68.62489738	73	6.668696350036979
loop	-8.58858943	-68.26914003	74	6.7428791162814505
loop	-8.68843016	-67.90312904	75	6.816387600233341
loop	-8.78476288	-67.52533031	76	6.889214451105513
loop	-8.87760317	-67.13388627	77	6.961352386273568
loop	-8.96695718	-66.72651942	78	7.0327941920041015
loop	-9.05281963	-66.30039818	79	7.103532724176079
loop	-9.13517102	-65.85194657	80	7.173560908995228
loop	-9.21397387	-65.37656779	81	7.242871743701426
loop	-9.28916732	-64.86823234	82	7.311458297268958
loop	-9.36065936	-64.31884590	83	7.379313711099627
loop	-9.42831516	-63.71724591	84	7.446431199708593
loop	-9.49193903	-63.04754493	85	7.512804051402927
loop	-9.55124532	-62.28626666	86	7.57842562895277
loop	-9.60580887	-61.39711512	87	7.643289370255051
loop	-9.65497575	-60.32076274	88	7.707388788989693
loop	-9.69768901	-58.95319330	89	7.770717475268238
loop	-9.73211383	-57.09465013	90	7.833269096274834
loop	-9.75471616	-54.31115320	91	7.895037396899505
loop	-9.75753085	-49.47725149	92	7.95601620036366
loop	-9.71734787	-38.74191054	93	8.016199408837771
loop	-9.52441157	-.35266372	94	8.075581004051141
spike at 95
loop	-5.45142354	-65.00000000	95	8.134155047893737
loop	-5.61145328	-67.26455319	96	8.191915683009983
loop	-5.77380300	-68.64469511	97	8.2488571333845
loop	-5.93541114	-69.27105215	98	8.304973704919705
loop	-6.09439424	-69.42282957	99	8.360259786005205
loop	-6.24977806	-69.31792570	100	8.414709848078965
loop	-6.40110666	-69.08104048	101	8.468318446180152
